gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
PTPDC1	chr9	94030794	94109856	94030793	94030843	+	13.8342125263607
OTOL1	chr3	161496808	161503942	161496807	161496857	+	0.0
MCAM	chr11	119308529	119321521	119317080	119317130	-	0.096070920321949
RASSF10	chr11	13009316	13012119	13009576	13009626	+	0.0
POLM	chr7	44072062	44082530	44082480	44082530	-	36.6510561028236
SNAPC5	chr15	66490135	66497780	66497712	66497762	-	132.289657283324
TSSC4	chr11	2400488	2403878	2402135	2402185	+	0.0
ARHGAP18	chr6	129576132	129710177	129596825	129596875	-	0.0
BCAT1	chr12	24810024	24949101	24881348	24881398	-	30.166268981092
PACSIN2	chr22	42835412	43015149	43015095	43015145	-	170.237670810494
VWC2	chr7	49773638	49921950	49773660	49773710	+	0.096070920321949
CALML3	chr10	5524961	5526771	5524008	5524058	+	0.0
APP	chr21	25880550	26171128	26050999	26051032	-	21.4238152317946
ZMAT4	chr8	40530590	40897833	40897783	40897833	-	221.923825943702
SAMD9L	chr7	93130056	93148385	93148318	93148368	-	0.0
KRT71	chr12	52543909	52553145	52553097	52553147	-	0.0
H3C1	chr6	26020451	26020958	26020489	26020539	+	0.0
SLC17A2	chr6	25912754	25930691	25930561	25930611	-	0.0
TIMP3	chr22	32801705	32863041	32801700	32801750	+	0.672496442253643
SOWAHB	chr4	76894152	76898144	76898097	76898147	-	0.0
MYLIP	chr6	16129086	16148248	16129124	16129174	+	0.096070920321949
SMARCA2	chr9	1980290	2193624	2085727	2085744	+	0.0
SNX5	chr20	17941597	17968980	17945480	17945530	-	0.672496442253643
PHIP	chr6	78934419	79078254	79078186	79078236	-	631.282017435527
LTBP1	chr2	32946953	33399509	33291483	33291533	+	0.0
C17orf50	chr17	35760887	35765079	35760896	35760946	+	0.0
IKBKB	chr8	42271302	42332460	42272082	42272132	+	0.0
TUSC2	chr3	50320027	50328251	50328201	50328251	-	35.642311439443105
POU1F1	chr3	87259404	87276584	87276537	87276587	-	0.0
ANXA8L1	chr10	46375627	46391784	46375675	46375725	+	0.0
THUMPD1	chr16	20702816	20742084	20741765	20741815	-	68.49856618954959
NYAP2	chr2	225399710	225654018	225400647	225400697	+	0.0
AP2M1	chr3	184174689	184184214	184174854	184174904	+	2807.48050456832
DCTN6	chr8	30156319	30183639	30156368	30156406	+	37.2755170849162
COA3	chr17	42795147	42798704	42798654	42798704	-	620.137790678181
KRT37	chr17	41420547	41424585	41424473	41424523	-	0.0
WDR43	chr2	28894667	28948219	28930057	28930107	+	0.0
ESM1	chr5	54977867	55022671	55022627	55022671	-	0.0
LMBR1L	chr12	49097136	49110900	49110850	49110900	-	129.935919735436
ITGA11	chr15	68296532	68432163	68365483	68365522	-	0.0
AHSG	chr3	186613060	186621318	186613084	186613134	+	0.480354601609745
FGD3	chr9	92947523	93036236	92974499	92974549	+	0.0
YTHDC1	chr4	68310387	68350089	68350039	68350089	-	158.565053991377
ZNF704	chr8	80628451	80874781	80640645	80640695	-	0.0
ATN1	chr12	6924463	6942321	6937697	6937747	+	0.0
TMEM202	chr15	72398302	72408367	72398304	72398354	+	0.0
KRTAP10-6	chr21	44591268	44592505	44592455	44592505	-	0.0
CRKL	chr22	20917407	20953747	20917425	20917475	+	43.7122687464868
DAPK1	chr9	87497228	87708634	87498534	87498584	+	0.672496442253643
ITGB6	chr2	160099667	160200313	160112079	160112110	-	0.0
TAF1B	chr2	9843443	9934416	9843481	9843531	+	103.180168425773
MYOM1	chr18	3066807	3219968	3075601	3075651	-	0.0
ZP2	chr16	21197450	21214510	21214460	21214510	-	0.0
WWC1	chr5	168291645	168472303	168371420	168371470	+	0.096070920321949
CHMP1B	chr18	11851413	11854444	11851395	11851445	+	35.642311439443105
PPIL2	chr22	21666000	21700015	21666008	21666058	+	196.561102978708
UNC5B	chr10	71212570	71302864	71212569	71212619	+	0.480354601609745
ZDBF2	chr2	206274663	206314427	206274662	206274712	+	23.0570208772678
MCU	chr10	72692143	72887694	72859994	72860044	+	0.0
CHGB	chr20	5911510	5925353	5911529	5911579	+	0.288212760965847
HOXB1	chr17	48528526	48531011	48530860	48530910	-	0.0
RALGAPB	chr20	38472816	38578859	38472899	38472927	+	0.480354601609745
PRDM15	chr21	41798225	41879482	41819733	41819783	-	0.0
CRYBG1	chr6	106360717	106572017	106541133	106541183	+	0.0
CTXND1	chr15	80195481	80252213	80252163	80252213	-	0.0
CST3	chr20	23626706	23638473	23637976	23638026	-	69.9396299943789
C5orf15	chr5	133955510	133968674	133968575	133968625	-	169.949458049528
CSRNP1	chr3	39141855	39154562	39154512	39154562	-	1.05678012354144
RPL31	chr2	101002229	101024032	101002282	101002315	+	383.130830243933
TWIST2	chr2	238848032	238910534	238848031	238848081	+	0.096070920321949
FAM184A	chr6	118959763	119149387	119079129	119079179	-	0.096070920321949
PDLIM5	chr4	94451857	94668227	94455266	94455316	+	0.0
SMIM3	chr5	150778757	150796734	150777945	150777995	+	0.0
CEP85L	chr6	118460772	118710075	118647055	118647105	-	0.0
SLC9A3R1	chr17	74748628	74769353	74748651	74748701	+	1.7292765657950802
LIG4	chr13	108207439	108218368	108215485	108215535	-	23.8255882398434
CENPB	chr20	3783851	3786740	3786640	3786690	-	0.0
COX15	chr10	99710868	99732127	99716596	99716646	-	0.0
MFAP1	chr15	43804492	43824690	43824752	43824802	-	0.96070920321949
LIMD2	chr17	63695888	63701172	63701122	63701172	-	0.0
HOXD3	chr2	176136612	176173102	176136956	176136999	+	0.0
BLID	chr11	122115340	122116215	122116165	122116215	-	0.0
TFB1M	chr6	155256134	155314493	155299505	155299542	-	0.0
GHSR	chr3	172443291	172448456	172448405	172448455	-	0.0
CSPG5	chr3	47562238	47580792	47580742	47580792	-	0.0
ATL3	chr11	63624087	63671921	63671696	63671746	-	1.53713472515118
TMEM184C	chr4	147617386	147672044	147617385	147617435	+	127.67825310787
DLG5	chr10	77790791	77926755	77824680	77824730	-	0.0
PGGHG	chr11	289126	296107	289558	289608	+	0.096070920321949
C8orf82	chr8	144525733	144529132	144528506	144528556	-	0.288212760965847
LHFPL5	chr6	35797206	35845397	35811244	35811294	+	0.0
ZNF782	chr9	96816269	96875623	96854310	96854360	-	11.6245813589558
METTL2B	chr7	128476729	128506602	128476753	128476803	+	11.0481558370241
ADAM22	chr7	87934143	88202889	88163030	88163080	+	0.0
XPOT	chr12	64404392	64451125	64404349	64404399	+	17.292765657950802
PSD2	chr5	139795808	139844466	139795820	139795870	+	0.0
PIGX	chr3	196639775	196736007	196712357	196712407	+	2.97819852998042
FGF12	chr3	192139390	192767764	192727537	192727587	-	7.87781546639982
SUGT1	chr13	52652709	52700909	52652838	52652888	+	1845.23416662367
MYLK4	chr6	2663629	2750922	2750916	2750966	-	0.0
YME1L1	chr10	27110111	27155266	27154342	27154392	-	863.10114817239
LRRC56	chr11	537527	554915	537526	537576	+	7.87781546639982
TRAPPC14	chr7	100154420	100158723	100155624	100155674	-	1.7292765657950802
MRPS24	chr7	43866558	43869893	43869467	43869517	-	83.2934879191298
RGS19	chr20	64073181	64079988	64079938	64079988	-	0.96070920321949
GTF2F2	chr13	45120510	45284893	45206354	45206404	+	0.0
FAM107B	chr10	14518557	14774897	14572264	14572314	-	0.0
MMP26	chr11	4704784	4992431	4988193	4988243	+	0.0
DHRS11	chr17	36592761	36601768	36591881	36591931	+	5.86032613963889
PGM3	chr6	83161150	83193936	83193243	83193293	-	1600.8297453246398
SCIMP	chr17	5208920	5234860	5234810	5234860	-	0.0
CDH1	chr16	68737292	68835537	68765119	68765169	+	0.0
PROB1	chr5	139390592	139395104	139395663	139395713	-	0.0
ARNT2	chr15	80404350	80597933	80551103	80551153	+	0.0
NINJ1	chr9	93121496	93134251	93134238	93134288	-	67.3457151456863
TBCK	chr4	106041599	106316683	106316654	106316704	-	0.0
RND3	chr2	150468195	150539011	150487644	150487694	-	109.568884627183
VWC2L	chr2	214411054	214578976	214411064	214411114	+	0.0
RRBP1	chr20	17613678	17682295	17682233	17682283	-	464.983254358233
MYOZ1	chr10	73631612	73641474	73641707	73641757	-	0.0
BLNK	chr10	96189171	96271587	96271537	96271587	-	0.0
SLC48A1	chr12	47753916	47782751	47753915	47753965	+	2.11356024708288
TRPC7	chr5	136212745	136365545	136365487	136365537	-	0.0
PATE4	chr11	125833316	125840072	125833315	125833365	+	0.0
NDUFB3	chr2	201071433	201085750	201072007	201072057	+	2.59391484869262
CNTNAP2	chr7	146116002	148420998	148339460	148339510	+	183.59152873524505
PPIA	chr7	44796680	44824564	44796679	44796729	+	322.317937680139
CBX6	chr22	38861422	38872249	38872199	38872249	-	30.838765423345603
BTBD10	chr11	13388008	13463297	13463230	13463280	-	36.0265951207309
TAF15	chr17	35809455	35864615	35844934	35844984	+	11.8167231995997
ANKRD40CL	chr17	50761029	50767557	50767468	50767518	-	0.0
FNDC9	chr5	157341598	157345677	157345671	157345721	-	0.0
FAM83C	chr20	35285731	35292425	35292351	35292401	-	0.0
ATF7IP2	chr16	10326434	10483638	10386057	10386107	+	1.92141840643898
CRYGN	chr7	151428832	151440813	151439994	151440044	-	0.0
PYCR3	chr8	143603913	143609773	143609564	143609614	-	22.768808116301894
SCAF8	chr6	154733378	154834244	154733377	154733427	+	41.9829921806917
CPO	chr2	206939518	206969474	206939553	206939603	+	0.0
MAS1	chr6	159890988	159917447	159906689	159906739	+	0.0
TUBA3C	chr13	19173772	19181824	19181802	19181852	-	0.0
RGMB	chr5	98768650	98798643	98773634	98773684	+	68.9789207911594
TUBGCP6	chr22	50217689	50245023	50244942	50244992	-	0.96070920321949
GPIHBP1	chr8	143213218	143217170	143213192	143213242	+	0.0
KCNMA1	chr10	76869601	77638369	77637444	77637494	-	1.2489219641853402
IFNA21	chr9	21165637	21166660	21166610	21166660	-	0.0
TFF1	chr21	42362282	42366535	42366544	42366594	-	0.0
RAPGEF3	chr12	47734363	47771040	47758788	47758838	-	0.0
SPINK5	chr5	148025683	148137382	148063979	148064029	+	0.0
MMADHC	chr2	149569637	149587778	149587728	149587778	-	192.526124325186
OXSM	chr3	25782917	25794534	25791020	25791070	+	0.0
OR1L3	chr9	122675130	122676104	122675129	122675179	+	0.0
ALX1	chr12	85280220	85301784	85280106	85280156	+	0.0
EIF3J	chr15	44537125	44563029	44554623	44554667	+	0.096070920321949
KHDRBS3	chr8	135457456	135656722	135606955	135607005	+	0.0
PDCL	chr9	122798389	122828588	122826702	122826752	-	0.096070920321949
CHMP2B	chr3	87227271	87255556	87227284	87227334	+	312.758881108105
FGD2	chr6	37005646	37029069	37005657	37005707	+	0.0
TBC1D22A	chr22	46762617	47175699	46763265	46763315	+	0.0
OR2J2	chr6	29173447	29174718	29173302	29173352	+	0.0
COL6A5	chr3	130345516	130484844	130345515	130345565	+	0.0
ATP11A	chr13	112690038	112887168	112785171	112785221	+	1.7292765657950802
MBD5	chr2	148021011	148516971	148021010	148021046	+	3.65069497223406
ITPRID1	chr7	31514090	31658720	31514089	31514139	+	0.0
POGLUT1	chr3	119468963	119494708	119468962	119469012	+	123.066848932417
MUC12	chr7	100969565	101018939	101013053	101013103	+	0.0
FOXF2	chr6	1389576	1395603	1389833	1389883	+	0.0
CBX3	chr7	26201162	26213607	26206367	26206417	+	4.99568785674135
CCT8	chr21	29055805	29073797	29063418	29063468	-	0.96070920321949
PCDH1	chr5	141853090	141879246	141878360	141878410	-	28.1487796543311
TFAP2A	chr6	10393186	10419659	10412829	10412879	-	0.0
USP17L1	chr8	7332387	7333979	7332386	7332436	+	0.0
SIRT3	chr11	215030	236931	236304	236354	-	31.4151909452773
UGT2B15	chr4	68646597	68670652	68670568	68670618	-	0.0
DOCK9	chr13	98793429	99086625	98850046	98850080	-	0.0
TMEM131	chr2	97756333	97995948	97995501	97995551	-	0.0
TSG101	chr11	18468336	18526951	18514800	18514850	-	0.0
NEBL	chr10	20779973	21293011	21174137	21174187	-	0.0
SULF1	chr8	69466624	69660915	69563441	69563491	+	0.0
C6orf89	chr6	36871870	36928964	36885853	36885903	+	2.11356024708288
RXYLT1	chr12	63779833	63809792	63779841	63779891	+	27.332176831594506
ARPIN-AP3S2	chr15	89834308	89912882	89908363	89908413	-	0.0
VAPA	chr18	9914016	9960021	9915769	9915819	+	0.096070920321949
TNIP2	chr4	2741648	2756342	2746108	2746158	-	0.0
SMIM30	chr7	113116718	113118560	113118510	113118560	-	3.84283681287796
CBY3	chr5	179679544	179682019	179680924	179680974	-	0.0
TMEM231	chr16	75536741	75556289	75556236	75556286	-	21.9041698334044
SHBG	chr17	7613946	7633382	7627968	7628018	+	0.480354601609745
IGFALS	chr16	1790413	1794971	1794921	1794971	-	0.0
MTNR1B	chr11	92969651	92985066	92969725	92969775	+	0.096070920321949
PTRH1	chr9	127690348	127724873	127724823	127724873	-	0.0
NKAIN4	chr20	63240784	63272694	63253387	63253437	-	0.0
ALKBH4	chr7	102456238	102464863	102464826	102464876	-	9.030666510263211
NUTM2E	chr10	79826739	79850878	79841357	79841407	+	0.0
GPX5	chr6	28525881	28534955	28528325	28528375	+	0.0
SORCS2	chr4	7192538	7742836	7381897	7381947	+	0.0
HES7	chr17	8120592	8124106	8124042	8124092	-	0.0
BLOC1S6	chr15	45587214	45615945	45587590	45587640	+	0.96070920321949
C11orf54	chr11	93741591	93764749	93741656	93741706	+	111.922622175071
AGMO	chr7	15200317	15562015	15366139	15366187	-	0.0
TMEM119	chr12	108589851	108598320	108598098	108598148	-	0.288212760965847
FANCD2	chr3	10026370	10101932	10028657	10028707	+	0.096070920321949
KRTAP6-2	chr21	30598590	30598902	30598852	30598902	-	0.0
ZGRF1	chr4	112539333	112636995	112636860	112636910	-	162.07164258312798
WFDC10B	chr20	45684651	45705019	45704969	45705019	-	0.0
HOXC8	chr12	54008985	54012769	54009105	54009155	+	0.0
SERPIND1	chr22	20774113	20787720	20779180	20779230	+	0.0
SPATA5L1	chr15	45402336	45421415	45402374	45402424	+	47.074750957755
EEFSEC	chr3	128153481	128408646	128153667	128153717	+	0.096070920321949
CELA1	chr12	51328442	51346679	51346629	51346679	-	0.0
PRSS22	chr16	2852730	2858170	2855934	2855984	-	0.0
DCAF7	chr17	63550222	63594286	63550460	63550510	+	82.5249205565542
PEDS1	chr20	50118254	50153734	50153684	50153734	-	24.402013761775105
RAB27B	chr18	54717860	54895516	54717859	54717909	+	0.288212760965847
NRBP2	chr8	143833583	143840973	143840580	143840630	-	0.288212760965847
ACAT2	chr6	159762045	159779112	159762494	159762544	+	162.455926264416
TM4SF4	chr3	149474697	149503394	149474698	149474748	+	0.0
HIPK2	chr7	139561570	139777998	139777728	139777778	-	0.672496442253643
FOXN4	chr12	109277978	109309284	109309170	109309220	-	0.0
CRTAM	chr11	122838500	122872643	122864590	122864640	+	0.0
RNF135	chr17	30970984	30999911	30971022	30971072	+	4.80354601609745
SLC22A31	chr16	89195761	89201651	89201614	89201664	-	3.17034037062432
SCGB1D4	chr11	62296281	62299075	62299014	62299064	-	0.0
GORASP1	chr3	39096599	39107863	39107588	39107638	-	57.3063039720426
RUBCN	chr3	197668867	197749727	197749677	197749727	-	0.480354601609745
GPR176	chr15	39799008	39920266	39919901	39919951	-	1.05678012354144
GBE1	chr3	81489703	81761645	81577924	81577943	-	0.0
UCP2	chr11	73974672	73982843	73977014	73977064	-	0.0
BAG4	chr8	38176533	38213301	38207592	38207642	+	0.096070920321949
CCDC66	chr3	56557161	56621837	56558854	56558904	+	0.096070920321949
PRICKLE1	chr12	42456757	42590355	42589694	42589744	-	0.0
EMILIN2	chr18	2847006	2916003	2906214	2906264	+	2.11356024708288
PHF14	chr7	10973336	11169623	10973871	10973921	+	395.043624363854
SMARCAD1	chr4	94207611	94291292	94207610	94207660	+	186.233479044098
ZIC5	chr13	99962964	99971767	99971859	99971909	-	0.096070920321949
IMPA2	chr18	11981025	12030877	11981464	11981514	+	85.7913318475005
FBF1	chr17	75909574	75941140	75913730	75913780	-	0.0
SOX12	chr20	325552	330224	325400	325450	+	2.6899857690145703
GALM	chr2	38666081	38741237	38666242	38666292	+	0.0
CAT	chr11	34438934	34472060	34470713	34470763	+	0.0
ACMSD	chr2	134838616	134902034	134838617	134838667	+	0.0
TRIM49B	chr11	49027501	49038451	49027500	49027550	+	0.0
FAM200B	chr4	15681662	15690447	15681755	15681805	+	92.324154429393
GANAB	chr11	62624826	62646726	62626720	62626770	-	0.0
NKX1-1	chr4	1402932	1406442	1406281	1406331	-	0.0
C2orf49	chr2	105337532	105349211	105337531	105337581	+	109.90513284831
TEX9	chr15	56244009	56445997	56365426	56365476	+	37.9480135271699
TDP2	chr6	24649979	24666930	24666541	24666591	-	0.96070920321949
KCNT1	chr9	135702185	135795508	135702184	135702234	+	0.0
PCOLCE2	chr3	142815922	142889206	142888695	142888745	-	0.096070920321949
SH3RF3	chr2	109129205	109504634	109129347	109129397	+	0.0
TM4SF19-DYNLT2B	chr3	196316082	196338373	196338323	196338373	-	0.0
SBF1	chr22	50443219	50483923	50455939	50455989	-	0.288212760965847
TM7SF2	chr11	65111845	65116384	65112704	65112754	+	1.7292765657950802
CCDC178	chr18	32937402	33441101	33136027	33136077	-	0.0
KRTCAP3	chr2	27442366	27446481	27443451	27443501	+	0.096070920321949
CPM	chr12	68842197	68971570	68933152	68933202	-	1.92141840643898
IFITM5	chr11	298200	299526	299476	299526	-	0.0
BCAS1	chr20	53936777	54070594	54070544	54070594	-	0.096070920321949
DDIT4	chr10	72273919	72276036	72273919	72273969	+	185.032592540074
ACTR3	chr2	113890063	113962596	113927368	113927418	+	1.05678012354144
PRKAR1B	chr7	549197	727650	727291	727341	-	2.59391484869262
IGF1	chr12	102395874	102481744	102480595	102480645	-	0.0
GNA13	chr17	65009289	65056740	65056789	65056839	-	24.402013761775105
B4GALNT2	chr17	49132460	49176840	49132966	49133016	+	0.0
CCDC150	chr2	196639554	196763490	196719278	196719328	+	0.0
BACH2	chr6	89926528	90296908	90008777	90008827	-	0.0
CSF1R	chr5	150053291	150113372	150086504	150086554	-	0.0
CFAP46	chr10	132808392	132942823	132910046	132910096	-	0.0
HINT1	chr5	131155383	131224468	131165251	131165301	-	1110.96412260302
WNT8A	chr5	138083990	138092365	138084084	138084134	+	0.0
PITPNM1	chr11	67491768	67506263	67500358	67500408	-	0.0
PCNA	chr20	5114953	5126626	5119976	5120026	-	64.9439421376375
TRIOBP	chr22	37697048	37776556	37751384	37751434	+	0.0
TRIM59	chr3	160432445	160485773	160485723	160485773	-	0.0
MEF2C	chr5	88717117	88904257	88785492	88785542	-	0.0
TEX53	chr9	114656304	114662374	114662324	114662374	-	0.0
HSPB2-C11orf52	chr11	111912736	111926871	111912735	111912785	+	2.6899857690145703
MARCKS	chr6	113857345	113863475	113857361	113857411	+	327.79398013849
HPS5	chr11	18278668	18322198	18322124	18322174	-	83.9659843613834
IFFO1	chr12	6538961	6556073	6556023	6556073	-	138.58230256441098
B2M	chr15	44711489	44718888	44711486	44711536	+	991.451897722514
PPY	chr17	43940804	43942476	43941249	43941299	-	0.0
LKAAEAR1	chr20	64083376	64084398	64084309	64084359	-	0.0
RSPRY1	chr16	57186137	57240469	57186136	57186186	+	0.0
CCNF	chr16	2429394	2458854	2443700	2443750	+	0.288212760965847
ZNF34	chr8	144772224	144787345	144787278	144787325	-	4.80354601609745
SUPT4H1	chr17	58345175	58353093	58347561	58347611	-	0.0
ABCB4	chr7	87401696	87480435	87475689	87475739	-	0.288212760965847
FAM240C	chr2	241893989	241902551	241899114	241899138	-	0.0
ZNF652	chr17	49289206	49362473	49361943	49361993	-	0.096070920321949
RAPGEF4	chr2	172735274	173052893	172860037	172860087	+	0.0
SPAG9	chr17	50962174	51120868	51001714	51001744	-	0.0
OPRM1	chr6	154010496	154246867	154010495	154010545	+	0.0
MRPL57	chr13	21176658	21179084	21176644	21176694	+	87.3284665726517
RAD51C	chr17	58692573	58735611	58695147	58695189	+	0.096070920321949
COPRS	chr17	31851871	31859291	31859241	31859291	-	7.87781546639982
RASA4B	chr7	102479976	102517777	102493261	102493311	-	0.0
OR5K2	chr3	98497681	98498631	98497603	98497653	+	0.0
WRAP53	chr17	7686071	7703502	7686300	7686350	+	0.0
DEFB123	chr20	31440632	31450257	31440518	31440568	+	0.0
OR10G6	chr11	123994163	123995161	123995111	123995161	-	0.0
CHST1	chr11	45647689	45665622	45665572	45665622	-	0.480354601609745
RASGRF1	chr15	78959906	79090780	78985260	78985310	-	0.0
TTI1	chr20	37983007	38033461	38013853	38013903	-	0.0
H2AC17	chr6	27892699	27893185	27893099	27893149	-	0.096070920321949
HARS1	chr5	140673035	140691537	140691333	140691383	-	127.966465868836
ST6GALNAC6	chr9	127885321	127905408	127899554	127899604	-	29.974127140448104
CYREN	chr7	135092363	135170795	135170474	135170524	-	4.5153332551316
HDAC11	chr3	13479724	13506424	13496825	13496852	+	0.0
UTP20	chr12	101280105	101386618	101280108	101280158	+	89.15381405876872
EEF1E1-BLOC1S5	chr6	8015726	8102530	8102480	8102530	-	186.857940026191
ATP6V1F	chr7	128862856	128865847	128862903	128862953	+	3.84283681287796
SERPING1	chr11	57597387	57619171	57598232	57598282	+	31.2230491046334
NSUN5	chr7	73302516	73308826	73304653	73304703	-	0.096070920321949
NBEAL2	chr3	46979666	47009704	46979682	46979732	+	2.59391484869262
GRIN2C	chr17	74842023	74861504	74859822	74859872	-	0.0
ITPRIP	chr10	104309698	104338465	104328874	104328924	-	1.53713472515118
CDKN2A	chr9	21967752	21995301	21971282	21971332	-	0.0
PCDHA1	chr5	140786136	141012347	140786135	140786185	+	1.92141840643898
HOGA1	chr10	97584323	97612802	97584342	97584392	+	1.53713472515118
ISOC1	chr5	129094749	129114028	129094750	129094800	+	16.4281273750533
EMILIN3	chr20	41359962	41366818	41366777	41366827	-	0.0
NT5C1B	chr2	18562872	18589572	18586988	18587038	-	0.0
UBE2G2	chr21	44768580	44801826	44801776	44801826	-	318.4270654071
CSF2RB	chr22	36913628	36940439	36913627	36913677	+	0.0
HINFP	chr11	119121580	119136059	119121586	119121636	+	345.08674579644094
PKD2L2	chr5	137887968	137942747	137889465	137889515	+	0.0
TESMIN	chr11	68707440	68751520	68750215	68750265	-	1.2489219641853402
BOC	chr3	113211003	113287459	113284559	113284567	+	0.0
DCLRE1C	chr10	14897359	14954432	14954045	14954095	-	20.4631060285751
BID	chr22	17734138	17774770	17774445	17774495	-	89.7302395807004
KRTAP5-11	chr11	71581855	71603353	71582825	71582875	-	0.0
NMB	chr15	84655129	84658563	84658513	84658563	-	0.0
KAT6B	chr10	74826984	75034681	74826599	74826649	+	21.567921612277605
ZNF341	chr20	33731657	33792269	33732001	33732051	+	2.11356024708288
BFSP1	chr20	17493905	17569220	17569170	17569220	-	0.0
CSN2	chr4	69955256	69961007	69960957	69961007	-	0.0
HDHD2	chr18	47107408	47150500	47150470	47150520	-	79.8349347875396
SMR3B	chr4	70370093	70390244	70370092	70370142	+	0.0
SLCO2A1	chr3	133932701	134052184	134029875	134029925	-	0.0
CITED2	chr6	139371807	139374648	139374555	139374605	-	9.414950191551
HIF1AN	chr10	100529072	100559998	100536197	100536247	+	0.0
WDR55	chr5	140664868	140674124	140668920	140668970	+	0.0
LONRF2	chr2	100271875	100322501	100322683	100322733	-	0.0
OR1D5	chr17	3062669	3063607	3063557	3063607	-	0.0
EHMT1	chr9	137618992	137870016	137618991	137619041	+	274.858903041096
FBXO43	chr8	100133351	100145817	100145402	100145452	-	0.0
LASP1	chr17	38869859	38921770	38870030	38870080	+	118.455444756963
MUCL1	chr12	54830518	54896008	54830518	54830568	+	0.0
NUTM2D	chr10	87357720	87370695	87357719	87357769	+	0.0
ACAD11	chr3	132558138	132660082	132620378	132620406	-	0.096070920321949
ZNF385C	chr17	42025576	42098479	42028081	42028131	-	0.0
LMO3	chr12	16548372	16610594	16605863	16605913	-	0.0
FAM111B	chr11	59107185	59127412	59107236	59107286	+	2.11356024708288
KRTAP4-1	chr17	41184100	41184911	41184845	41184895	-	0.0
STX4	chr16	31032889	31042975	31033545	31033595	+	48.08349562113551
ARHGAP42	chr11	100687288	100993941	100687675	100687725	+	0.096070920321949
AURKA	chr20	56369389	56392337	56392170	56392220	-	213.853868636659
ALDH1L1	chr3	126103562	126197994	126115452	126115502	-	0.0
RCC1L	chr7	75027122	75074228	75073831	75073881	-	99.7216152941831
MYOZ3	chr5	150660882	150679368	150672651	150672701	+	0.0
MED1	chr17	39404285	39451272	39451236	39451286	-	110.577629290563
DMXL2	chr15	51447711	51622833	51459140	51459190	-	0.0
SDSL	chr12	113422380	113438276	113435506	113435556	+	0.0
GLYATL2	chr11	58834065	58904215	58844476	58844526	-	0.0
DZIP3	chr3	108589705	108694840	108589704	108589754	+	200.980365313517
TAOK1	chr17	29390363	29551903	29390930	29390980	+	0.096070920321949
SMYD4	chr17	1779485	1830634	1829831	1829881	-	53.943821760774405
TOPAZ1	chr3	44241886	44332098	44241885	44241935	+	0.0
CCND3	chr6	41934934	42050357	41940676	41940726	-	0.0
C3orf52	chr3	112086335	112131004	112111451	112111501	+	0.0
MPLKIP	chr7	40126027	40134622	40134609	40134659	-	72.72568668371541
PCSK2	chr20	17226107	17484578	17226990	17227040	+	3.4585531315901603
TMEM167A	chr5	83052846	83077863	83061925	83061975	-	0.096070920321949
PHF20L1	chr8	132775358	132848807	132799158	132799172	+	0.672496442253643
SLC29A1	chr6	44219553	44234142	44219655	44219705	+	1.7292765657950802
RHOH	chr4	40191053	40246967	40200344	40200394	+	0.0
MS4A6A	chr11	60172015	60184666	60183017	60183067	-	0.0
UGT1A1	chr2	233760270	233773300	233760247	233760297	+	0.0
TOR1A	chr9	129812942	129824244	129824084	129824134	-	65.1360839782814
DEPTOR	chr8	119873717	120050918	119873716	119873766	+	7.87781546639982
IL2RA	chr10	6010689	6062370	6062240	6062290	-	0.0
TMEM87A	chr15	42210447	42273584	42273386	42273436	-	183.59152873524505
TEX264	chr3	51662693	51704323	51671231	51671281	+	19.0220422237459
PTPRO	chr12	15322257	15602175	15322542	15322592	+	1.53713472515118
UPF3A	chr13	114281601	114305817	114285974	114286024	+	0.0
GSDMB	chr17	39904595	39919854	39907449	39907499	-	0.0
TRIL	chr7	28953358	28958330	28958242	28958292	-	0.480354601609745
FRMD4B	chr3	69168782	69542583	69542533	69542583	-	2.11356024708288
C4orf50	chr4	5897373	6200555	5989768	5989818	-	0.0
ADAM12	chr10	126012381	126388477	126388405	126388455	-	0.0
STX3	chr11	59713456	59805882	59755375	59755425	+	41.3104957384381
AGPAT1	chr6	32168212	32178096	32173065	32173115	-	0.0
SAMD5	chr6	147508690	147737547	147509225	147509275	+	0.0
C6	chr5	41142116	41261438	41172629	41172679	-	0.0
UQCRQ	chr5	132866630	132868847	132866629	132866679	+	269.671073343711
PTCHD3	chr10	27445487	27461668	27414318	27414368	-	0.0
MGA	chr15	41621134	41773081	41669723	41669773	+	0.480354601609745
HBQ1	chr16	180459	181179	180452	180502	+	5.379971538029151
GNPTAB	chr12	101745499	101830959	101768053	101768103	-	0.480354601609745
SLC16A3	chr17	82217934	82261129	82232231	82232281	+	0.0
SLC23A2	chr20	4852356	5010293	5010220	5010270	-	0.0
ATP6V1B1	chr2	70935900	70965431	70935881	70935931	+	0.096070920321949
SLC35F2	chr11	107790991	107928293	107928243	107928293	-	0.0
IFT80	chr3	160256986	160399880	160399195	160399245	-	1153.13925662435
XDH	chr2	31334321	31414742	31414665	31414715	-	0.0
COMMD3-BMI1	chr10	22316388	22329542	22316387	22316437	+	19.0220422237459
SESN1	chr6	108984309	109094846	109009505	109009555	-	55.6250628664085
FASN	chr17	82078338	82098294	82098282	82098332	-	12.2970778012095
P3H2	chr3	189956728	190122437	190121628	190121678	-	0.096070920321949
VPS54	chr2	63892146	64019428	64019022	64019072	-	0.96070920321949
