gene_name	chr	gene_start	gene_end	strand	TSS_start	TSS_end	gex	gex_rank	gex_group	gene_length	gene_center	TSS_center
MARCHF5	chr10	92291167	92353964	+	92349480	92349530	1.63382078216191	0.6671579464505035	gex>0	62798	92322565	92349505
CEP135	chr4	55948871	56033361	+	55948944	55948994	13.8394230959597	0.7784021125030705	gex>0	84491	55991116	55948969
SSBP4	chr19	18418864	18434562	+	18419425	18419475	7.400247072145111	0.7441660525669369	gex>0	15699	18426713	18419450
SEPTIN7	chr7	35800932	35907110	+	35801038	35801088	95.2421408895558	0.90349422746254	gex>0	106179	35854021	35801063
UCHL1	chr4	41256413	41268455	+	41256907	41256960	2.59489183049244	0.6914455907639401	gex>0	12043	41262434	41256933
SPG11	chr15	44554818	44663688	-	44663628	44663678	175.876001844488	0.9373004175878162	gex>0	108871	44609253	44663653
ANAPC16	chr10	72216000	72235860	+	72215999	72216049	760.111092124619	0.9877794153770572	gex>0	19861	72225930	72216024
NEMP1	chr12	57055643	57088063	-	57078719	57078769	118.500060259155	0.9158683370179316	gex>0	32421	57071853	57078744
MYO1G	chr7	44962662	44979088	-	44979048	44979098	112.973901731254	0.9131970031933186	gex>0	16427	44970875	44979073
ZNF268	chr12	133181409	133214832	+	133191454	133191504	0.480535524165267	0.6075288626873004	gex>0	33424	133198120	133191479
LCA5L	chr21	39405728	39445805	-	39445755	39445805	0.480535524165267	0.6075288626873004	gex>0	40078	39425766	39445780
SLC29A1	chr6	44219553	44234142	+	44219655	44219705	13.0705662572953	0.7752702038811103	gex>0	14590	44226847	44219680
NUPR1	chr16	28532708	28539008	-	28538958	28539008	5.38199787065099	0.7278002947678703	gex>0	6301	28535858	28538983
ATP5PO	chr21	33903453	33915814	-	33907362	33907416	8.16910391080953	0.749048145418816	gex>0	12362	33909633	33907389
LONP1	chr19	5691834	5720572	-	5720115	5720165	215.279914826039	0.9479243429132892	gex>0	28739	5706203	5720140
MACIR	chr5	103258763	103278660	+	103258701	103259085	21.1435630632717	0.8037337263571604	gex>0	19898	103268711	103258893
QTRT1	chr19	10701430	10713437	+	10701429	10701479	294.952704732641	0.9617722918201916	gex>0	12008	10707433	10701454
TP53	chr17	7661779	7687538	-	7687441	7687491	182.026856553803	0.939388356669123	gex>0	25760	7674658	7687466
TMEM241	chr18	23197144	23437961	-	23437905	23437959	39.4039129815519	0.8423605993613362	gex>0	240818	23317552	23437932
RNF146	chr6	127266726	127288567	+	127266839	127266889	180.777464190973	0.9389584868582658	gex>0	21842	127277646	127266864
ELAC1	chr18	50967991	50988121	+	50968015	50968065	26.813882248421898	0.8179808400884304	gex>0	20131	50978056	50968040
HSPA9	chr5	138553756	138575675	-	138575394	138575444	1257.2731454260002	0.9935519528371408	gex>0	21920	138564715	138575419
HADH	chr4	107989714	108035241	+	107989854	107989904	60.5474760448236	0.8712539916482437	gex>0	45528	108012477	107989879
ADA2	chr22	17178790	17258235	-	17219535	17219585	26.5255609339227	0.816936870547777	gex>0	79446	17218512	17219560
PI4K2A	chr10	97640686	97676434	+	97640685	97640735	19.798063595609	0.8000184229918939	gex>0	35749	97658560	97640710
CYFIP2	chr5	157266079	157395595	+	157266122	157266172	321.574372771396	0.96518054532056	gex>0	129517	157330837	157266147
HPS4	chr22	26443423	26483837	-	26479631	26479681	0.480535524165267	0.6075288626873004	gex>0	40415	26463630	26479656
ATP5MF	chr7	99448475	99466186	-	99466136	99466186	820.850782379108	0.98894620486367	gex>0	17712	99457330	99466161
RABAC1	chr19	41956681	41959321	-	41959260	41959310	4.03649840298824	0.7126934414148858	gex>0	2641	41958001	41959285
CDC25A	chr3	48157146	48188417	-	48187916	48187966	1.05717815316359	0.6474453451240482	gex>0	31272	48172781	48187941
COX18	chr4	73052362	73069755	-	73069705	73069755	68.09188377421829	0.8801277327437976	gex>0	17394	73061058	73069730
TIMELESS	chr12	56416363	56449426	-	56449353	56449403	59.8747263109922	0.8707013018914271	gex>0	33064	56432894	56449378
RPS27A	chr2	55231903	55235853	+	55232677	55232727	249.494044146606	0.9545566199950872	gex>0	3951	55233878	55232702
BTBD1	chr15	83016423	83067252	-	83041771	83041821	1.05717815316359	0.6474453451240482	gex>0	50830	83041837	83041796
PKIB	chr6	122471917	122726373	+	122471916	122471966	12.3017094186308	0.7714627855563744	gex>0	254457	122599145	122471941
PRPF18	chr10	13586939	13630859	+	13586938	13586988	618.064791181366	0.9837263571604028	gex>0	43921	13608899	13586963
ZNF195	chr11	3339261	3379222	-	3379168	3379218	38.250627723555205	0.840671825104397	gex>0	39962	3359241	3379193
PRRG2	chr19	49580646	49591004	+	49581325	49581375	1.05717815316359	0.6474453451240482	gex>0	10359	49585825	49581350
GLT1D1	chr12	128853427	128984968	+	128853602	128853649	2.1143563063271698	0.680545320560059	gex>0	131542	128919197	128853625
PRR11	chr17	59155732	59206709	+	59155731	59155781	139.45140911276002	0.9251412429378532	gex>0	50978	59181220	59155756
SLC35D2	chr9	96313444	96383711	-	96383647	96383710	0.480535524165267	0.6075288626873004	gex>0	70268	96348577	96383678
UBE3C	chr7	157138916	157269370	+	157225501	157225539	1.05717815316359	0.6474453451240482	gex>0	130455	157204143	157225520
AMBRA1	chr11	46396414	46594125	-	46594075	46594125	1.05717815316359	0.6474453451240482	gex>0	197712	46495269	46594100
GLI4	chr8	143267433	143276931	+	143267432	143267482	4.90146234648572	0.7233787767133383	gex>0	9499	143272182	143267457
SYNCRIP	chr6	85607779	85644063	-	85642941	85642991	104.660637163195	0.9089597150577252	gex>0	36285	85625921	85642966
PRKAR1B	chr7	549197	727650	-	727291	727341	14.3199586201249	0.7798759518545811	gex>0	178454	638423	727316
PHF12	chr17	28905250	28951771	-	28951556	28951606	1.63382078216191	0.6671579464505035	gex>0	46522	28928510	28951581
MOGS	chr2	74461057	74465410	-	74465350	74465410	35.5596287882297	0.8360353721444362	gex>0	4354	74463233	74465380
NUP43	chr6	149724315	149749665	-	149746502	149746552	74.5791133504494	0.8863608450012282	gex>0	25351	149736990	149746527
PHAX	chr5	126600925	126627252	+	126617234	126617284	2.1143563063271698	0.680545320560059	gex>0	26328	126614088	126617259
KIF3B	chr20	32277651	32335011	+	32277663	32277713	5.86253339481625	0.7314541881601572	gex>0	57361	32306331	32277688
SPDL1	chr5	169583636	169604778	+	169583749	169583799	195.145476363515	0.9433800049127978	gex>0	21143	169594207	169583774
PLAAT2	chr11	63552770	63563379	-	63563333	63563383	23.1618122647658	0.8089535740604274	gex>0	10610	63558074	63563358
BAG6	chr6	31715314	31728984	-	31652423	31652445	3.07542735465771	0.7000736919675755	gex>0	13671	31722149	31652434
FNIP1	chr5	131641714	131797017	-	131796967	131797017	26.0450254097574	0.815985015966593	gex>0	155304	131719365	131796992
PRPF31	chr19	54115410	54131719	+	54118612	54118633	1.05717815316359	0.6474453451240482	gex>0	16310	54123564	54118622
EFCAB5	chr17	29929200	30108452	+	29929855	29929905	13.8394230959597	0.7784021125030705	gex>0	179253	30018826	29929880
SENP7	chr3	101324205	101513241	-	101513155	101513223	24.411204627595502	0.8121468926553672	gex>0	189037	101418723	101513189
RAD9B	chr12	110501655	110533556	+	110502313	110502363	3.5559628788229705	0.706951608941292	gex>0	31902	110517605	110502338
CFTR	chr7	117287120	117715971	+	117479962	117480012	5.86253339481625	0.7314541881601572	gex>0	428852	117501545	117479987
ZNF747	chr16	30530367	30535347	-	30535297	30535347	1.05717815316359	0.6474453451240482	gex>0	4981	30532857	30535322
TTC14	chr3	180602163	180617828	+	180602188	180602238	215.279914826039	0.9479243429132892	gex>0	15666	180609995	180602213
REV3L	chr6	111299028	111483715	-	111351683	111351733	0.480535524165267	0.6075288626873004	gex>0	184688	111391371	111351708
CYBRD1	chr2	171522247	171558129	+	171522476	171522526	23.8345619985972	0.810918693195775	gex>0	35883	171540188	171522501
CYP20A1	chr2	203238977	203306026	+	203238976	203239026	25.6605969904252	0.8150638663718988	gex>0	67050	203272501	203239001
NIPA2	chr15	22838644	22869362	+	22838657	22838725	291.156474091735	0.9612810120363549	gex>0	30719	22854003	22838691
LRCH3	chr3	197791226	197888436	+	197791225	197791275	64.0073318188135	0.8751228199459592	gex>0	97211	197839831	197791250
YPEL1	chr22	21697536	21735794	-	21735784	21735834	1.05717815316359	0.6474453451240482	gex>0	38259	21716665	21735809
MCM7	chr7	100092728	100101940	-	100101359	100101409	453.144999287846	0.976111520510931	gex>0	9213	100097334	100101384
GDF11	chr12	55743122	55757264	+	55743279	55743329	7.400247072145111	0.7441660525669369	gex>0	14143	55750193	55743304
COA1	chr7	43608456	43729717	-	43729473	43729541	274.866319822532	0.9587939081306804	gex>0	121262	43669086	43729507
ANLN	chr7	36389821	36453791	+	36420223	36420273	1.05717815316359	0.6474453451240482	gex>0	63971	36421806	36420248
LSM1	chr8	38163335	38176730	-	38176680	38176730	19.5097422811098	0.7990358634242201	gex>0	13396	38170032	38176705
TMX4	chr20	7977346	8019805	-	8019596	8019646	4.51703392715351	0.7182510439695406	gex>0	42460	7998575	8019621
LGALS3	chr14	55124110	55145423	+	55129255	55129300	90.82121406723542	0.9005158437730287	gex>0	21314	55134766	55129277
LAMTOR4	chr7	100148912	100155944	+	100148933	100148975	890.432326278239	0.989898059444854	gex>0	7033	100152428	100148954
HIKESHI	chr11	86302211	86345943	+	86302222	86302272	400.47830583933296	0.972611152051093	gex>0	43733	86324077	86302247
EHBP1	chr2	62673851	63046487	+	62705711	62705736	44.2573217756211	0.8506509457135839	gex>0	372637	62860169	62705723
ZNF300	chr5	150894392	150904983	-	150904933	150904983	0.480535524165267	0.6075288626873004	gex>0	10592	150899687	150904958
ADGRE2	chr19	14732392	14778560	-	14776792	14776842	0.480535524165267	0.6075288626873004	gex>0	46169	14755476	14776817
NECAP1	chr12	8076939	8097881	+	8082254	8082304	136.664303072602	0.9239437484647508	gex>0	20943	8087410	8082279
TADA3	chr3	9779967	9793011	-	9792961	9793011	3.07542735465771	0.7000736919675755	gex>0	13045	9786489	9792986
POMP	chr13	28659104	28678959	+	28659103	28659153	728.395747529711	0.9871039056742816	gex>0	19856	28669031	28659128
PM20D2	chr6	89146055	89165565	+	89146049	89146099	44.0170540135384	0.8501289609432572	gex>0	19511	89155810	89146074
ZMYM5	chr13	19823482	19863649	-	19863474	19863524	18.068135708614	0.7941537705723409	gex>0	40168	19843565	19863499
SUV39H2	chr10	14878820	14904315	+	14878847	14878897	336.855402439852	0.9669000245639892	gex>0	25496	14891567	14878872
HTRA2	chr2	74529725	74533332	+	74529774	74529824	4.51703392715351	0.7182510439695406	gex>0	3608	74531528	74529799
QTRT2	chr3	114005833	114088422	+	114056756	114056806	334.692992581108	0.9666850896585606	gex>0	82590	114047127	114056781
RNF6	chr13	26132115	26222314	-	26222211	26222261	2.59489183049244	0.6914455907639401	gex>0	90200	26177214	26222236
DCAF7	chr17	63550222	63594286	+	63550460	63550510	385.197276170878	0.9714443625644804	gex>0	44065	63572254	63550485
HSPBP1	chr19	55262223	55280381	-	55280127	55280177	30.177630917578696	0.8251043969540653	gex>0	18159	55271302	55280152
PANK3	chr5	168548495	168579368	-	168566014	168566064	1.05717815316359	0.6474453451240482	gex>0	30874	168563931	168566039
TMEM80	chr11	695591	705028	+	695590	695640	1.05717815316359	0.6474453451240482	gex>0	9438	700309	695615
MKRN2	chr3	12557057	12586208	+	12557086	12557136	37.0973424655586	0.8390137558339474	gex>0	29152	12571632	12557111
DSG2	chr18	31498177	31549008	+	31498219	31498269	57.4720486901659	0.8684598378776713	gex>0	50832	31523592	31498244
GIMAP2	chr7	150685697	150693641	+	150685696	150685746	102.354066647202	0.907762220584623	gex>0	7945	150689669	150685721
AP3M1	chr10	74120255	74150842	-	74150792	74150842	448.7721260179419	0.975957995578482	gex>0	30588	74135548	74150817
KIF20A	chr5	138178719	138187723	+	138178718	138178768	1.05717815316359	0.6474453451240482	gex>0	9005	138183221	138178743
ZNF639	chr3	179323031	179338583	+	179322990	179323040	15.0888154587894	0.7833456153279292	gex>0	15553	179330807	179323015
DYNC1H1	chr14	101964573	102056443	+	101964527	101964577	165.256166760435	0.9335851142225498	gex>0	91871	102010508	101964552
TRAF7	chr16	2155698	2178129	+	2155764	2155814	62.3735110366516	0.8733419307295505	gex>0	22432	2166913	2155789
ANKRD49	chr11	94493979	94499578	+	94493978	94494028	384.47647288463	0.971352247605011	gex>0	5600	94496778	94494003
NDUFA2	chr5	140638740	140647771	-	140647735	140647785	40.4610911347154	0.8442643085237043	gex>0	9032	140643255	140647760
FXYD5	chr19	35154730	35169881	+	35154941	35154991	28.447703030583803	0.8215733235077377	gex>0	15152	35162305	35154966
ACSBG1	chr15	78167468	78245688	-	78234524	78234574	5.38199787065099	0.7278002947678703	gex>0	78221	78206578	78234549
HERC4	chr10	67921899	68075301	-	68075251	68075301	49.8795874083547	0.8587263571604028	gex>0	153403	67998600	68075276
CEP250	chr20	35455164	35519280	+	35455163	35455213	50.3601229325199	0.8593097519037092	gex>0	64117	35487222	35455188
PBX2	chr6	32184733	32190202	-	32189892	32189942	0.480535524165267	0.6075288626873004	gex>0	5470	32187467	32189917
MRS2	chr6	24402908	24426194	+	24402907	24403003	184.525641279462	0.9402480962908376	gex>0	23287	24414551	24402955
NFATC2	chr20	51386957	51562831	-	51542669	51542719	3.07542735465771	0.7000736919675755	gex>0	175875	51474894	51542694
LRMDA	chr10	75431624	76560168	+	75601239	75601289	0.480535524165267	0.6075288626873004	gex>0	1128545	75995896	75601264
LRRTM4	chr2	76747685	77593319	-	77522318	77522376	1.05717815316359	0.6474453451240482	gex>0	845635	77170502	77522347
ROMO1	chr20	35699272	35700984	+	35699441	35699456	9.03406785430701	0.754267993122083	gex>0	1713	35700128	35699448
GOLT1B	chr12	21501781	21518408	+	21501780	21501830	97.8370327200483	0.9049987718005404	gex>0	16628	21510094	21501805
MYH10	chr17	8474207	8631376	-	8630711	8630761	10.1873531123037	0.761545074920167	gex>0	157170	8552791	8630736
PACSIN2	chr22	42835412	43015149	-	43015095	43015145	119.557238412318	0.9164824367477278	gex>0	179738	42925280	43015120
HACL1	chr3	15560699	15601852	-	15601542	15601592	817.775355024451	0.9888847948906904	gex>0	41154	15581275	15601567
TAMALIN	chr12	52006946	52015889	+	52006939	52006989	0.480535524165267	0.6075288626873004	gex>0	8944	52011417	52006964
NDUFV1	chr11	67605653	67612554	+	67611552	67611602	2.1143563063271698	0.680545320560059	gex>0	6902	67609103	67611577
ST7	chr7	116953238	117230176	+	116953326	116953376	10.5717815316359	0.7635101940555146	gex>0	276939	117091707	116953351
STK35	chr20	2101827	2177038	+	2102890	2102940	6.24696181414847	0.734647506755097	gex>0	75212	2139432	2102915
DCP1A	chr3	53283429	53347586	-	53347536	53347586	58.0486913191642	0.8689511176615082	gex>0	64158	53315507	53347561
ZNF765	chr19	53389793	53430413	+	53395143	53395193	64.24759958089611	0.8753991648243675	gex>0	40621	53410103	53395168
MAD2L1BP	chr6	43629540	43640941	+	43635818	43635868	466.5999939644741	0.9768484401866864	gex>0	11402	43635240	43635843
PDE6D	chr2	231732433	231786272	-	231781259	231781309	123.497629710474	0.9182940309506264	gex>0	53840	231759352	231781284
TNFRSF10C	chr8	23102921	23117445	+	23102920	23102970	21.1435630632717	0.8037337263571604	gex>0	14525	23110183	23102945
TMEM109	chr11	60914158	60923443	+	60919677	60919727	1.63382078216191	0.6671579464505035	gex>0	9286	60918800	60919702
NELFB	chr9	137255327	137273542	+	137255306	137255356	44.978125061869	0.8518177352001965	gex>0	18216	137264434	137255331
DEF6	chr6	35297818	35321771	+	35309737	35309787	5.38199787065099	0.7278002947678703	gex>0	23954	35309794	35309762
ASPA	chr17	3472374	3503405	+	3476001	3476051	2.1143563063271698	0.680545320560059	gex>0	31032	3487889	3476026
CNOT7	chr8	17224966	17246878	-	17246559	17246609	4.51703392715351	0.7182510439695406	gex>0	21913	17235922	17246584
BIRC2	chr11	102347211	102378670	+	102347373	102347423	0.480535524165267	0.6075288626873004	gex>0	31460	102362940	102347398
TXNDC17	chr17	6640985	6644541	+	6641015	6641065	374.673548191658	0.9706767379022352	gex>0	3557	6642763	6641040
DDIT3	chr12	57516588	57521737	-	57520467	57520517	83.0365385757581	0.8943748464750676	gex>0	5150	57519162	57520492
GPN3	chr12	110452486	110469268	-	110469218	110469268	0.480535524165267	0.6075288626873004	gex>0	16783	110460877	110469243
CARD8	chr19	48180770	48255946	-	48255896	48255946	31.907558804573696	0.8290039302382707	gex>0	75177	48218358	48255921
NTN1	chr17	9021510	9244000	+	9162934	9162984	0.480535524165267	0.6075288626873004	gex>0	222491	9132755	9162959
ARCN1	chr11	118572390	118603033	+	118572389	118572439	401.15105557316497	0.9726725620240728	gex>0	30644	118587711	118572414
VWDE	chr7	12330885	12403941	-	12403674	12403905	4.90146234648572	0.7233787767133383	gex>0	73057	12367413	12403789
CASP1	chr11	105025443	105035250	-	105035106	105035157	323.88094328739	0.9654568901989684	gex>0	9808	105030346	105035131
TMF1	chr3	69019827	69052339	-	69052253	69052303	45.7469819005334	0.8532301645787276	gex>0	32513	69036083	69052278
MAP4	chr3	47850690	48089272	-	48089222	48089272	1.63382078216191	0.6671579464505035	gex>0	238583	47969981	48089247
AMN1	chr12	31671142	31729121	-	31729060	31729110	4.03649840298824	0.7126934414148858	gex>0	57980	31700131	31729085
ZNF35	chr3	44648732	44660791	+	44648726	44648776	27.6307926395028	0.8197924342913289	gex>0	12060	44654761	44648751
ALKBH8	chr11	107502727	107565742	-	107565692	107565746	8.16910391080953	0.749048145418816	gex>0	63016	107534234	107565719
TTC17	chr11	43358920	43494933	+	43450137	43450187	1.05717815316359	0.6474453451240482	gex>0	136014	43426926	43450162
GSTO1	chr10	104235356	104267459	+	104255162	104255212	1.63382078216191	0.6671579464505035	gex>0	32104	104251407	104255187
CENPK	chr5	65517766	65563168	-	65563121	65563171	256.317648589753	0.9557848194546794	gex>0	45403	65540467	65563146
SLC1A5	chr19	46774883	46788594	-	46784774	46784824	13.8394230959597	0.7784021125030705	gex>0	13712	46781738	46784799
RRP12	chr10	97356358	97426076	-	97426026	97426076	4.03649840298824	0.7126934414148858	gex>0	69719	97391217	97426051
BBS1	chr11	66510606	66533613	+	66510615	66510683	233.39610408707	0.951885286170474	gex>0	23008	66522109	66510649
NCEH1	chr3	172630249	172711218	-	172711062	172711112	73.2336138827866	0.8854704003930238	gex>0	80970	172670733	172711087
H2AC16	chr6	27865317	27865798	+	27865354	27865404	3.07542735465771	0.7000736919675755	gex>0	482	27865557	27865379
SETMAR	chr3	4303332	4317265	+	4303360	4303410	92.0706064300651	0.9012834684352738	gex>0	13934	4310298	4303385
TEDC2	chr16	2460086	2464963	+	2460079	2460151	39.0194845622196	0.8416850896585606	gex>0	4878	2462524	2460115
KRAS	chr12	25205246	25250936	-	25250886	25250936	15.4732438781216	0.7847887496929501	gex>0	45691	25228091	25250911
STX16-NPEPL1	chr20	58651434	58715410	+	58673637	58673687	0.480535524165267	0.6075288626873004	gex>0	63977	58683422	58673662
ZFP1	chr16	75148494	75172236	+	75148509	75148559	7.88078259631037	0.7467759764185704	gex>0	23743	75160365	75148534
CAPN1	chr11	65180566	65212006	+	65181193	65181243	1.63382078216191	0.6671579464505035	gex>0	31441	65196286	65181218
WBP1	chr2	74458400	74460891	+	74458438	74458488	66.12168812514071	0.8776099238516335	gex>0	2492	74459645	74458463
C20orf204	chr20	64034344	64039962	+	64038131	64038181	4.51703392715351	0.7182510439695406	gex>0	5619	64037153	64038156
NRF1	chr7	129611720	129757082	+	129611713	129611763	121.671594718645	0.9173114713829524	gex>0	145363	129684401	129611738
FXYD2	chr11	117800844	117828698	-	117828042	117828092	13.0705662572953	0.7752702038811103	gex>0	27855	117814771	117828067
WDR76	chr15	43826980	43868412	+	43826979	43827029	234.50133579265	0.9521002210759028	gex>0	41433	43847696	43827004
MRPL19	chr2	75646783	75690851	+	75646978	75647028	0.480535524165267	0.6075288626873004	gex>0	44069	75668817	75647003
PIKFYVE	chr2	208266255	208358746	+	208266266	208266316	18.068135708614	0.7941537705723409	gex>0	92492	208312500	208266291
DNAJC3	chr13	95677139	95794988	+	95677138	95677188	81.5949320032623	0.8930238270695161	gex>0	117850	95736063	95677163
SOHLH2	chr13	36168217	36214588	-	36214538	36214615	6.24696181414847	0.734647506755097	gex>0	46372	36191402	36214576
CPSF3	chr2	9423651	9473101	+	9423650	9423700	773.566086801246	0.9880250552689755	gex>0	49451	9448376	9423675
ZNF33A	chr10	38010650	38065088	+	38010649	38010704	26.813882248421898	0.8179808400884304	gex>0	54439	38037869	38010676
SPATA5	chr4	122923070	123319433	+	122923073	122923123	108.60102846135	0.9111090641120118	gex>0	396364	123121251	122923098
ALG8	chr11	78095244	78139660	-	78139599	78139649	181.738535239304	0.9392655367231638	gex>0	44417	78117452	78139624
RASSF9	chr12	85800703	85836409	-	85836520	85836570	7.88078259631037	0.7467759764185704	gex>0	35707	85818556	85836545
NCOR2	chr12	124324415	124567589	-	124483719	124483769	1.05717815316359	0.6474453451240482	gex>0	243175	124446002	124483744
RPS10-NUDT3	chr6	34284887	34426071	-	34426031	34426048	22.296848321268396	0.8067428150331614	gex>0	141185	34355479	34426039
BCL2L11	chr2	111119378	111168445	+	111120913	111120963	2.1143563063271698	0.680545320560059	gex>0	49068	111143911	111120938
COQ10A	chr12	56266890	56270966	+	56267282	56267332	6.63139023348068	0.7379943502824858	gex>0	4077	56268928	56267307
ANKRD37	chr4	185396021	185400628	+	185396810	185396860	182.939874049717	0.9396647015475312	gex>0	4608	185398324	185396835
URI1	chr19	29923644	30016612	+	29942250	29942300	23.546240684098105	0.8100589535740604	gex>0	92969	29970128	29942275
ARHGEF7	chr13	111114559	111305737	+	111153646	111153696	118.932542230903	0.91614468189634	gex>0	191179	111210148	111153671
GHITM	chr10	84139482	84154841	+	84139501	84139551	981.541861659974	0.9908499140260378	gex>0	15360	84147161	84139526
RGS10	chr10	119499817	119542719	-	119526044	119526094	1.05717815316359	0.6474453451240482	gex>0	42903	119521268	119526069
RACK1	chr5	181236897	181248096	-	181243897	181243947	514.557439276167	0.9795811839842792	gex>0	11200	181242496	181243922
AP1M1	chr19	16197854	16245906	+	16203462	16203512	2.1143563063271698	0.680545320560059	gex>0	48053	16221880	16203487
MZT2B	chr2	130181737	130190729	+	130182256	130182306	174.866877243741	0.9368398427904692	gex>0	8993	130186233	130182281
ZNF641	chr12	48337180	48351414	-	48350785	48350804	0.480535524165267	0.6075288626873004	gex>0	14235	48344297	48350794
ZNF280D	chr15	56630176	56734086	-	56733480	56733530	19.5097422811098	0.7990358634242201	gex>0	103911	56682131	56733505
BCAP29	chr7	107580906	107618493	+	107594021	107594071	0.480535524165267	0.6075288626873004	gex>0	37588	107599699	107594046
DNMT1	chr19	10133342	10231286	-	10184509	10184559	0.480535524165267	0.6075288626873004	gex>0	97945	10182314	10184534
NABP2	chr12	56222015	56229854	+	56222014	56222064	16.6265291361182	0.7888418079096046	gex>0	7840	56225934	56222039
CIPC	chr14	77098126	77117287	+	77098096	77098175	1.05717815316359	0.6474453451240482	gex>0	19162	77107706	77098135
CNOT8	chr5	154857553	154876792	+	154859666	154859716	1.05717815316359	0.6474453451240482	gex>0	19240	154867172	154859691
PSMD3	chr17	39980807	39997959	+	39980796	39980846	444.639520510121	0.9755588307541144	gex>0	17153	39989383	39980821
CTDSP1	chr2	218398256	218405941	+	218400132	218400157	2.1143563063271698	0.680545320560059	gex>0	7686	218402098	218400144
FADS1	chr11	61799627	61829318	-	61816721	61816778	1.05717815316359	0.6474453451240482	gex>0	29692	61814472	61816749
MYO9B	chr19	17075777	17214537	+	17207212	17207244	1.05717815316359	0.6474453451240482	gex>0	138761	17145157	17207228
PRRC2A	chr6	31610949	31627996	+	31620719	31620773	65.1606170768101	0.8764738393515107	gex>0	17048	31619472	31620746
PIM3	chr22	49960768	49964072	+	49960767	49960817	33.349165377069504	0.8323200687791698	gex>0	3305	49962420	49960792
ARMT1	chr6	151452258	151470101	+	151452485	151452535	24.411204627595502	0.8121468926553672	gex>0	17844	151461179	151452510
STOML2	chr9	35099776	35103195	-	35103145	35103195	470.34817105296304	0.977216900024564	gex>0	3420	35101485	35103170
ARL4D	chr17	43398993	43401137	+	43398958	43399008	1.05717815316359	0.6474453451240482	gex>0	2145	43400065	43398983
PIN1	chr19	9835257	9849689	+	9838598	9838648	0.480535524165267	0.6075288626873004	gex>0	14433	9842473	9838623
FRMD8	chr11	65386621	65413525	+	65386620	65386670	84.766466462753	0.8956337509211496	gex>0	26905	65400073	65386645
SMU1	chr9	33041765	33076674	-	33076609	33076659	82.41184239434321	0.8937914517317612	gex>0	34910	33059219	33076634
ZNF92	chr7	65373799	65401136	+	65373837	65373887	30.9464877562432	0.8267931712110047	gex>0	27338	65387467	65373862
TRIM6	chr11	5596109	5612958	+	5596108	5596159	2.1143563063271698	0.680545320560059	gex>0	16850	5604533	5596133
PPP4C	chr16	30075978	30085376	+	30076006	30076056	118.500060259155	0.9158683370179316	gex>0	9399	30080677	30076031
CAPG	chr2	85394753	85418432	-	85413992	85414042	5.86253339481625	0.7314541881601572	gex>0	23680	85406592	85414017
IL6ST	chr5	55935095	55995022	-	55951587	55951637	0.480535524165267	0.6075288626873004	gex>0	59928	55965058	55951612
PEX5	chr12	7188685	7218574	+	7210129	7210179	1.63382078216191	0.6671579464505035	gex>0	29890	7203629	7210154
MAVS	chr20	3846799	3876123	+	3846798	3846892	40.4610911347154	0.8442643085237043	gex>0	29325	3861461	3846845
DNAJC2	chr7	103312289	103344830	-	103344780	103344830	34.8868790543983	0.8347764676983542	gex>0	32542	103328559	103344805
NUDT6	chr4	122888697	122922968	-	122922556	122922606	26.0450254097574	0.815985015966593	gex>0	34272	122905832	122922581
TBL1XR1	chr3	177019340	177228000	-	177197202	177197252	5.38199787065099	0.7278002947678703	gex>0	208661	177123670	177197227
AP5Z1	chr7	4775615	4794397	+	4775621	4775671	51.705622400182705	0.86075288626873	gex>0	18783	4785006	4775646
PUS3	chr11	125893485	125903221	-	125903171	125903221	56.895406061167606	0.8676000982559567	gex>0	9737	125898353	125903196
MACC1	chr7	20134655	20217404	-	20217354	20217404	347.042755552156	0.9679439941046426	gex>0	82750	20176029	20217379
DHX36	chr3	154275723	154284039	-	154284937	154284987	1.05717815316359	0.6474453451240482	gex>0	8317	154279881	154284962
KIR2DL4	chr19	54803543	54814528	+	54803610	54803690	4.03649840298824	0.7126934414148858	gex>0	10986	54809035	54803650
CTSA	chr20	45890144	45898949	+	45891312	45891362	163.57429242585698	0.9330938344387129	gex>0	8806	45894546	45891337
BSCL2	chr11	62689289	62709845	-	62707413	62707463	0.480535524165267	0.6075288626873004	gex>0	20557	62699567	62707438
ACAD8	chr11	134253548	134265855	+	134253547	134253597	16.145993611953003	0.7876136084500123	gex>0	12308	134259701	134253572
PRPF39	chr14	45084107	45116282	+	45084098	45084148	95.6265693088881	0.9037398673544584	gex>0	32176	45100194	45084123
ZBTB3	chr11	62748319	62754184	-	62754138	62754188	17.2992788699496	0.7915745517071973	gex>0	5866	62751251	62754163
UFL1	chr6	96521595	96555276	+	96521807	96521857	44.593696642536706	0.85126504544338	gex>0	33682	96538435	96521832
ZNF189	chr9	101398851	101410660	+	101398872	101398922	9.03406785430701	0.754267993122083	gex>0	11810	101404755	101398897
NEK9	chr14	75079353	75127344	-	75127030	75127080	142.238515152919	0.9258781626136084	gex>0	47992	75103348	75127055
CHUK	chr10	100188300	100229596	-	100229569	100229619	25.6605969904252	0.8150638663718988	gex>0	41297	100208948	100229594
PTCD2	chr5	72320367	72368395	+	72320366	72320416	92.0706064300651	0.9012834684352738	gex>0	48029	72344381	72320391
SH2B1	chr16	28846600	28874212	+	28863558	28863608	1.05717815316359	0.6474453451240482	gex>0	27613	28860406	28863583
