gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex	DNase_gene_z_mean	DNase_gene_z_std	DNase_tss_z_mean	DNase_tss_z_std	H3K27ac_gene_z_mean	H3K27ac_gene_z_std	H3K27ac_tss_z_mean	H3K27ac_tss_z_std	H3K4me3_gene_z_mean	H3K4me3_gene_z_std	H3K4me3_tss_z_mean	H3K4me3_tss_z_std	H3K27me3_gene_z_mean	H3K27me3_gene_z_std	H3K27me3_tss_z_mean	H3K27me3_tss_z_std	H3K36me3_gene_z_mean	H3K36me3_gene_z_std	H3K36me3_tss_z_mean	H3K36me3_tss_z_std	H3K4me1_gene_z_mean	H3K4me1_gene_z_std	H3K4me1_tss_z_mean	H3K4me1_tss_z_std	H3K9me3_gene_z_mean	H3K9me3_gene_z_std	H3K9me3_tss_z_mean	H3K9me3_tss_z_std
SOAT1	chr1	179293714	179358680	179294319	179294369	+		-0.0010640784	0.029653123	0.17901376	0.13884476	-0.056585953	0.15042731	0.5744133	0.7570402	0.11386441	1.8717936	7.868826	9.309218	-0.22344443	0.10052387	-0.311838	0.06902489	0.8674963	1.6225199	-0.49879944	0.14693281	-0.053249903	0.63001686	0.27141088	0.7387136	-0.28040764	0.48605302	-0.6428984	0.3022668
MTX1	chr1	155208695	155213824	155209237	155209287	+		0.042416025	0.11325677	0.20671	0.17062761	0.7535861	2.5776193	6.333184	4.097128	1.8509759	5.4776416	2.5133686	1.699684	-0.2561921	0.06743992	-0.3264345	0.029105293	0.10984439	1.040506	-0.5232718	0.17133643	0.39146996	1.374831	1.5426861	2.6493757	-0.46594322	0.24516974	-0.8095868	0.049270213
POU2F1	chr1	167220876	167427345	167220875	167220925	+		-0.0037291422	0.015259577	0.2811654	0.21036027	-0.067071594	0.13108326	0.53172505	0.6026346	-0.040888894	0.29423866	5.604624	5.426327	-0.20739074	0.11230578	-0.31582955	0.042924654	0.2091602	0.928786	-0.40519795	0.21529813	-0.039146706	0.55394	-0.12911263	0.22315781	-0.24274611	0.5587153	-0.74375963	0.1488575
AGL	chr1	99850361	99924023	99852669	99852703	+		-0.0028723776	0.014799682	0.00024142808	0.009079174	-0.07268651	0.08926428	-0.0845339	0.014046024	0.0912144	1.5797337	0.011364339	0.14011538	-0.19970033	0.11214918	-0.20668383	0.107615575	0.39174023	1.0454128	0.2935108	0.69377023	-0.076002225	0.39673114	0.23254605	0.40506014	-0.23154336	0.5274732	-0.38020316	0.2908796
OR2M5	chr1	248145148	248146086	248145147	248145197	+		-0.008504913	0.0045309756	-0.007657936	0.003995615	-0.07892369	1.0940946e-08	-0.089066036	0.009047272	-0.058793303	0.0014964147	-0.06279751	0.028148394	-0.1159601	0.12951314	-0.21929342	0.05591518	-0.2796527	0.09448136	-0.31077108	0.24482754	-0.14934418	4.233541e-08	-0.18443684	0.032975703	1.0406309	0.93263274	0.8880168	1.3200669
CAPN8	chr1	223538007	223665723	223665673	223665723	-		-0.0042105485	0.01179098	0.0016604274	0.010413202	-0.085420586	0.01545259	-0.09191309	0.0049708225	-0.06756789	0.019608762	-0.07579755	0.008408329	0.003573491	0.49406004	0.051554244	0.38826573	-0.2925193	0.23800644	-0.22639027	0.24863797	-0.17022726	0.06529931	-0.1401184	0.08570518	-0.2912338	0.33861816	-0.25049382	0.46911928
FAM72B	chr1	121167646	121185539	121183348	121183398	-		-0.0045954506	0.040729996	-0.0072925	0.010175321	-0.07205644	0.065240905	-0.07892369	1.0940946e-08	-0.05029544	0.0672694	0.083178915	0.24075043	-0.17561251	0.015780717	-0.17358348	0.0	-0.2900397	0.06856615	-0.29283834	0.0	-0.14999461	0.01375843	-0.1403233	0.04167237	-0.19070055	0.0652225	-0.18052325	7.608344e-08
NBPF12	chr1	146938744	146996202	146959970	146960020	+		-0.010406518	0.00445336	-0.0091196345	0.005745702	-0.07817203	0.008868648	-0.07892369	1.0940946e-08	-0.053956978	0.04371164	-0.05806409	2.8934328e-09	-0.17434424	0.010420585	-0.17358348	0.0	-0.20582935	0.29344675	-0.29283834	0.0	-0.14646214	0.039443508	-0.14934409	4.233541e-08	-0.1897269	0.053577762	-0.18052325	7.608344e-08
CRTC2	chr1	153947669	153958615	153952912	153952962	-		0.032715473	0.08739137	0.01592728	0.021132741	-0.04379479	0.18071587	-0.08729517	0.021997789	0.73473287	2.3873158	-0.076531135	0.015853025	-0.30392885	0.029507646	-0.28759658	0.0066271364	0.8227564	1.6827736	0.48566246	0.95017797	0.24276319	1.2758402	-0.21510762	0.0031798424	-0.59392077	0.2568132	-0.54821956	0.1612327
GOLT1A	chr1	204198163	204213988	204201651	204201701	-		0.020945793	0.058419622	0.00012258257	0.008731934	1.1173066	4.0653815	-0.09252945	0.017187012	-0.07811234	0.028448718	-0.08461989	0.012993449	-0.1999605	0.21384378	-0.31364572	0.015609027	-0.38925204	0.2424599	-0.352025	0.10753214	0.68536854	3.0471542	-0.011489534	0.13839911	-0.6192436	0.21430798	-0.6563253	0.18102454
MIGA1	chr1	77779624	77879540	77779623	77779673	+		-0.0023491788	0.018895052	0.05549981	0.11023545	0.092230216	0.9711177	0.34461704	0.44284743	0.024288747	0.81939536	1.5950285	2.318409	-0.21725	0.08364194	-0.22013503	0.0494112	0.8042218	1.4868995	-0.23892964	0.26514277	0.22991168	1.2565027	0.70588607	1.0782849	-0.27720672	0.42332786	-0.26501453	0.371438
NUAK2	chr1	205302063	205321745	205321741	205321791	-		0.02147248	0.04746418	0.13121898	0.240767	0.013207702	0.3273687	-0.10465472	0.004517215	0.1440944	1.0168053	-0.030318974	0.2800232	-0.26372024	0.11809463	-0.34341785	0.010386425	0.31680277	1.2111982	-0.58213717	0.028718987	0.46946788	1.3250952	-0.12377211	0.18917832	-0.53260595	0.32569274	-0.7699652	0.13844028
UBL4B	chr1	110112443	110113947	110112467	110112517	+		0.016347708	0.009445425	-0.00018192538	0.013422006	-0.101432264	0.0050356444	-0.08833612	0.010483401	-0.0876341	0.013331552	-0.07344357	0.0038903633	0.9427154	0.96699166	1.2204726	1.0126634	-0.5120917	0.07173697	-0.25943097	0.20570594	-0.23109394	0.014152942	-0.18993533	0.010355759	-0.6522223	0.23571853	-0.2804682	0.36066476
CSF3R	chr1	36466043	36483278	36483228	36483278	-		0.008756103	0.014805507	0.00995865	0.013077014	-0.09037418	0.015790425	-0.08497326	0.017799178	-0.075215556	0.013295138	-0.07373198	0.009769157	0.023530243	0.50736475	1.1870488	0.8769574	-0.26073676	0.3416511	-0.2815094	0.23708776	-0.16857393	0.083320364	-0.19118218	0.023762876	-0.40579352	0.29998744	-0.41544533	0.1464787
PLXNA2	chr1	208022242	208244384	208031603	208031653	-		0.0101722265	0.03151344	0.032828197	0.027113112	1.1788448	4.4354362	0.109522924	0.21476622	0.17894289	1.9789624	-0.08385591	0.014563009	-0.30454037	0.062192835	-0.2946524	0.06473669	2.384416	2.726652	3.324297	2.8783374	1.5671425	3.87951	3.473402	1.6715151	-0.5957595	0.28643078	-0.7182646	0.11050703
NUDT17	chr1	145845630	145848954	145845628	145845678	+		0.05337488	0.09427991	0.067574136	0.12383711	0.12032783	0.41860518	-0.053856548	0.084107086	0.31705418	0.99427146	0.9713074	1.2322537	-0.2579225	0.12966192	-0.25724357	0.110883296	1.4729757	2.188384	-0.24648282	0.2537266	0.28232148	0.8465065	1.814393	2.0938745	-0.5518073	0.26782256	-0.5482154	0.33400765
OR10Z1	chr1	158605268	158612514	158606438	158606488	+		-0.0049808235	0.0073330174	-0.0045061456	0.007298671	-0.0841591	0.015453393	-0.09564052	0.006862678	-0.05743015	0.038533	-0.080881484	0.010826576	-0.14947869	0.18545549	-0.24825953	0.11996969	-0.1836678	0.3326292	-0.38713983	0.23415859	-0.16868757	0.05398126	-0.20806178	0.02557928	0.4059887	1.0207872	-0.11599019	0.57786775
MYBPH	chr1	203167811	203175826	203175733	203175783	-		0.028857466	0.071810134	0.006410929	0.008601036	-0.095346995	0.013013574	-0.0914131	0.0025093951	-0.08108933	0.014669744	-0.07489587	0.0046602823	-0.1316279	0.2182341	-0.16765884	0.16549583	-0.35855603	0.20423107	-0.20416977	0.23334576	-0.20769702	0.036232818	-0.17918916	0.04285824	-0.55017126	0.23622291	-0.43616927	0.08541573
ZDHHC18	chr1	26826688	26857604	26851128	26851178	+		0.016999472	0.06975702	0.014176251	0.016547829	0.09989938	0.9224751	-0.07095311	0.039277524	-0.021761578	0.33630395	-0.087116756	0.0077789277	-0.26429197	0.093045875	-0.30151284	0.032381386	0.97872055	1.7846695	1.7572201	1.7890536	-0.0045388215	0.8321751	-0.22201858	0.018408775	-0.468265	0.3321859	-0.52984756	0.25202835
DCST1	chr1	155033824	155050930	155033823	155033854	+		0.03571566	0.10609497	0.015712678	0.013666705	0.01364337	0.47322658	-0.08492941	0.0036985201	-0.03205239	0.32965165	-0.0658699	0.0055905115	-0.09668201	0.47720766	0.23134896	0.40882388	-0.38536632	0.21830902	-0.12502873	0.28328085	0.48677993	1.7749637	-0.12025539	0.07849773	-0.5877357	0.2859162	-0.21384026	0.28769365
NPHP4	chr1	5862811	5992473	5992423	5992473	-		0.01729748	0.05193889	0.66446674	0.80006045	-0.06431205	0.37900338	0.17490824	0.8760068	-0.050669968	0.30023658	1.1281066	0.7183073	-0.25560668	0.07610284	-0.21485983	0.1439975	0.0950232	0.7778328	-0.38492447	0.2108548	-0.17227226	0.16862987	0.5022961	1.0231123	-0.4149698	0.3699985	-0.48729318	0.18251982
SYF2	chr1	25222276	25232502	25232452	25232502	-		0.004142337	0.03312829	0.13446985	0.12999395	0.2029899	0.88904995	2.7791235	2.281833	0.6199521	2.4454038	14.086543	10.146444	-0.26556823	0.051030893	-0.34381643	0.02469097	2.0764549	2.8088171	-0.34982127	0.73113924	0.742892	1.6722862	0.6831632	1.5022349	-0.40213925	0.3986209	-0.8370062	0.1423278
KIF2C	chr1	44739818	44767767	44739952	44740002	+		-0.0025396345	0.02225498	0.23940036	0.32309946	-0.007906704	0.3941657	1.2936151	1.3763443	0.47316858	2.9699464	6.5799947	7.0330296	-0.2606724	0.0692251	-0.31866884	0.043544136	1.9574243	2.7316709	-0.5127137	0.09234944	0.13642882	0.95618707	0.38179377	0.6084522	-0.42346695	0.3394464	-0.7105413	0.21268897
NPL	chr1	182789293	182830384	182794349	182794399	+		0.0018234217	0.026221178	0.006213015	0.011638612	-0.08995332	0.012962571	-0.09121182	0.006113204	-0.016639745	0.39211166	-0.047049265	0.03026636	0.6795864	1.8847823	2.477952	1.3877335	-0.19905	0.4157256	0.06024826	0.7122704	-0.11670289	0.48915797	-0.19156244	0.022912566	-0.33567053	0.40202466	-0.11348682	0.46333006
SERINC2	chr1	31409565	31434680	31410216	31410266	+		0.0233201	0.06456377	0.0089232735	0.014798329	-0.07636464	0.093997605	-0.09460712	0.0058083683	0.04283099	0.63226825	-0.072586164	0.018819574	0.00088765775	0.8321793	1.8539344	1.3044494	-0.12224582	0.60533655	-0.30079982	0.20089272	-0.06597402	0.53383476	-0.1651294	0.08226427	-0.5154345	0.28440288	-0.34963882	0.30862302
MR1	chr1	181033374	181061938	181033971	181034021	+		0.0076652593	0.04334787	0.057265963	0.102300584	-0.061520923	0.14001097	0.43670216	0.41487777	-0.038677406	0.2184322	0.4869766	0.8224834	0.21162589	0.97182214	-0.32505685	0.049751204	-0.20933506	0.44656354	-0.4117662	0.2229179	-0.085993	0.58527386	2.4545352	1.9780525	-0.33664873	0.40885764	-0.6959637	0.18399622
MFSD14A	chr1	100038095	100083377	100058670	100058720	+		0.0012109288	0.042651467	-0.002420172	0.0069274316	0.16305092	1.3000749	-0.031548295	0.06327486	0.45697674	3.2394843	-0.05423257	0.040196944	-0.23089525	0.094851285	-0.17333749	0.11692481	1.6987224	2.4688878	2.4154742	1.3128483	0.027829986	0.7079382	-0.08932374	0.1522233	-0.337215	0.41219085	-0.24008167	0.46676132
DHDDS	chr1	26432282	26471306	26432328	26432376	+		-0.00043175239	0.032563362	0.1621391	0.23262969	-0.04611371	0.31973198	0.14934924	0.3293502	0.41154262	3.6031003	1.3891941	1.5179908	-0.25114876	0.06873229	-0.27133504	0.12501606	1.8297218	2.466461	-0.526438	0.104169495	-0.019282678	0.93402815	1.0360849	1.2755677	-0.40667498	0.34246743	-0.65818983	0.23906788
LCK	chr1	32251239	32286165	32274120	32274170	+		0.007652302	0.043962438	0.026433233	0.033331204	0.057130765	1.11546	-0.09450317	0.0062044743	-0.06188776	0.12464342	-0.07399739	0.021860486	0.16792081	0.94395226	0.6519762	0.86502045	-0.27881572	0.33120835	-0.0749765	0.633339	0.06603774	0.94825274	-0.02876742	0.2560153	-0.4144749	0.31866765	-0.34705475	0.4118666
SH3GLB1	chr1	86704570	86748184	86704894	86704944	+		0.0013124665	0.033251766	0.17285486	0.1292156	0.47573656	1.8990402	8.175049	3.9262476	0.7277749	3.6523733	4.3582096	2.42535	-0.22007792	0.1045535	-0.28177238	0.09373042	2.7970986	3.732687	-0.53271604	0.095381215	0.62975395	1.844327	0.47925445	0.9151588	-0.30214137	0.405411	-0.67725563	0.2131919
FAF1	chr1	50437028	50960267	50960213	50960263	-		-0.0044329143	0.023658581	0.32542765	0.4642325	-0.06390218	0.26138154	0.9549739	1.1806897	-0.040136874	0.6967774	9.302164	10.3640785	-0.21234429	0.091689445	-0.28275505	0.045939382	0.17999737	0.8609009	-0.35255176	0.29474378	-0.08582298	0.6292705	1.386189	1.8614492	-0.2565017	0.4405646	-0.43122578	0.27901614
AMPD1	chr1	114673090	114695618	114695568	114695618	-		-0.001983114	0.010037568	-0.0056404816	0.0060528186	-0.085651666	0.01566705	-0.085199945	0.009679734	-0.06645891	0.02966084	-0.05754105	0.031085806	1.1998526	1.3636202	0.88215727	1.0511643	-0.2606273	0.31552455	-0.14685488	0.26673162	-0.16920334	0.057121824	-0.1709859	0.033965714	-0.32437348	0.33626318	-0.15177017	0.42317665
UBE2J2	chr1	1253909	1273864	1273814	1273864	-		0.053334694	0.1000079	0.37215647	0.3842738	0.9150806	2.0990307	0.33482048	0.5735008	0.25110102	1.2447832	1.006536	1.3494257	-0.303404	0.04515395	-0.30452374	0.032301024	1.0458527	2.09602	-0.52052414	0.0579242	0.56990296	1.6248329	0.55311763	0.595525	-0.6131322	0.24174869	-0.6503168	0.14213137
FPGT	chr1	74198238	74234086	74198237	74198287	+		-0.004513389	0.030425372	0.15725572	0.2390932	-0.020155443	0.592929	2.1489592	2.53521	0.31424436	2.8395572	3.5606356	4.7749987	-0.1356374	0.25769213	-0.20606986	0.22350958	0.1594003	0.93509823	-0.21078818	0.560894	-0.0978216	0.3791183	0.7358444	0.8544775	-0.1126009	0.5611722	-0.55932456	0.4690943
SLC30A10	chr1	219685427	219958647	219928601	219928651	-		-0.003367736	0.014183462	0.04581605	0.038799513	-0.08450133	0.0157002	-0.08751059	0.009136008	-0.060987182	0.054048277	-0.024023414	0.061348397	-0.0017114452	0.63815105	3.7506301	2.5905256	-0.19701071	0.35576826	-0.21989244	0.25249368	-0.15862486	0.14273837	0.3828714	0.90344816	0.06789716	0.86834383	-0.22729965	0.38283914
SLC6A9	chr1	43991500	44031467	44031417	44031467	-		0.034873877	0.09428499	0.031199023	0.031470638	-0.07978255	0.08510926	-0.09792584	0.0029235866	0.06301032	0.7435008	0.219923	0.5568417	-0.14358692	0.34951162	0.94165164	0.6490235	-0.32520372	0.27005914	-0.354142	0.17262517	-0.11584446	0.35831168	-0.063540414	0.23127562	-0.45875594	0.29527596	-0.5230084	0.19531769
LAMB3	chr1	209614870	209652425	209651344	209651394	-		0.016335363	0.04024503	0.046623047	0.0908167	0.106888585	0.9252691	0.6200229	1.1381335	-0.07765288	0.062242735	-0.0921095	0.010885971	-0.25407678	0.14236508	-0.30125996	0.09782772	-0.2502567	0.42551675	-0.4543535	0.21722764	0.29162434	1.7103083	0.44219092	1.1372288	-0.55716056	0.28853554	-0.7443115	0.14808312
DISC1	chr1	231626790	232041272	231626814	231626864	+		0.00045470323	0.025053957	0.18147275	0.19098888	0.021323137	1.0185256	0.20752011	0.2620233	-0.049542625	0.30684027	0.73634136	1.4176338	-0.2332501	0.13354816	-0.3053192	0.041906606	-0.059174657	0.6516573	-0.40967757	0.13314973	0.1482515	1.3432856	1.5143075	1.9274076	-0.36492103	0.4468436	-0.57211477	0.30874738
FMO5	chr1	147175351	147243050	147225588	147225638	-		0.0052718036	0.057670943	0.03680983	0.053284213	-0.06707964	0.18308048	-0.07249579	0.027828842	0.07960454	1.216345	3.639178	6.3404937	0.10855502	0.62029356	-0.025241882	0.5286211	-0.13320053	0.41880563	-0.21852532	0.31788486	-0.11174766	0.25225335	0.33392683	0.65465975	-0.2230542	0.4047428	-0.40968773	0.41985503
ARHGEF10L	chr1	17539698	17697874	17615087	17615137	+		0.01739252	0.032280684	0.02754476	0.02120052	-0.08874421	0.040113844	-0.096426144	0.011164782	-0.06279554	0.23781838	-0.09003217	0.006291782	-0.23526247	0.24671663	-0.2916116	0.055078596	-0.21811411	0.42736608	-0.4465956	0.16394223	-0.15248486	0.23363489	-0.23000473	0.015393886	-0.44752237	0.32677844	-0.69203424	0.15417704
RALGPS2	chr1	178725165	178921842	178725395	178725419	+		-0.0034912794	0.0228331	0.1589033	0.16517374	-0.05943486	0.17040858	0.68763906	0.49075603	0.0108302	0.7734824	0.84362805	0.88739	-0.20775542	0.109289095	-0.28573254	0.0660416	0.40605348	1.108296	-0.5271459	0.072482	-0.01915796	0.6573476	2.52867	3.6129277	-0.24374485	0.4940033	-0.7370237	0.12198971
FNDC7	chr1	108712908	108742749	108722410	108722460	+		-0.0002589429	0.021657076	0.0067915977	0.009707451	-0.062112544	0.1969502	-0.06056147	0.061456885	-0.07201053	0.026097434	-0.06806584	0.041052673	0.5001205	1.0143474	-0.29279697	0.03500014	-0.2552662	0.34370148	-0.33260652	0.2920508	0.03055897	0.876486	0.58265656	0.6310324	-0.3448954	0.43723997	-0.5779314	0.26128542
TMEM69	chr1	45688181	45694436	45688195	45688245	+		0.0076328837	0.045062106	0.13880166	0.18032086	0.5958482	1.9488307	5.440596	2.839198	3.1725838	9.303251	3.9785876	3.4953327	-0.24432598	0.10998255	-0.3437641	0.019463362	0.7849245	1.4609337	-0.42945546	0.34286362	0.15647914	0.68117386	3.3761415	3.318043	-0.43653706	0.2720511	-0.81852067	0.11933302
DYRK3	chr1	206635536	206684419	206635828	206635878	+		0.0066885673	0.035094358	0.21667542	0.19284675	-0.058170322	0.28336534	2.6794016	1.2878577	0.06636871	1.06377	2.143913	1.7121665	1.3769003	3.124389	-0.30950716	0.035431307	0.07485293	0.99958265	-0.49479437	0.09301663	-0.014920311	0.6159423	4.3795967	5.2547164	-0.38977236	0.35681695	-0.6540218	0.24933788
UBXN11	chr1	26281328	26318363	26306595	26306645	-		0.025269777	0.088113226	0.17267966	0.26996645	-0.044784408	0.17885008	-0.009002692	0.10282325	0.06427342	0.9701494	1.0622605	1.5720869	-0.12173677	0.4940614	-0.24197918	0.13198008	-0.16924159	0.53510964	-0.2772977	0.30894926	0.14632185	1.0960535	1.7452567	2.3052342	-0.49985486	0.3100443	-0.5865031	0.20682049
CATSPER4	chr1	26190561	26202968	26190560	26190610	+		0.010805521	0.030026563	0.06293777	0.034693237	-0.09026475	0.009820696	-0.10140119	0.0035063496	-0.069574304	0.024626143	-0.0887658	0.00623763	0.2620471	0.644292	-0.2894138	0.052645963	-0.28214613	0.27429226	-0.44494772	0.20690607	-0.1566121	0.14422792	-0.21774842	0.030897148	-0.39565963	0.3223473	-0.58513373	0.3152225
CHIA	chr1	111290851	111320566	111310464	111310492	+		-0.004810067	0.008684988	-0.003997577	0.008166579	-0.08236819	0.012859141	-0.08433738	0.008284681	-0.0604158	0.025471509	-0.054846782	0.030489111	0.17989115	0.72615564	1.5141094	1.6821748	-0.17760786	0.34624103	-0.040871613	0.32490408	-0.15823084	0.053343352	-0.16758168	0.029457344	-0.1554905	0.50635976	-0.19509247	0.4078561
CLCC1	chr1	108881885	108963527	108963407	108963457	-		0.00045009438	0.041952487	0.16022485	0.2993433	0.032677464	0.77827096	1.0298342	1.6585119	0.03837671	0.9280655	2.3026593	3.4312265	-0.2204946	0.106884986	-0.22486895	0.05193921	1.0398116	1.9690213	-0.22930485	0.32075086	0.22005947	1.6596553	0.31232068	0.4199605	-0.3053262	0.4104724	0.12879297	0.9718866
CAMSAP2	chr1	200738893	200860704	200739778	200739828	+		-0.0008055975	0.03495202	0.32650113	0.16023625	0.017913906	0.9852682	7.307318	6.608572	0.32991585	2.9271798	3.9011285	3.4446294	-0.22780898	0.10056909	-0.18763179	0.2409132	1.1651356	2.024419	-0.45526764	0.13725856	0.021961622	0.5438302	-0.21878296	0.027688488	-0.32688507	0.42176858	-0.56092495	0.23324017
S100A13	chr1	153618787	153631360	153626998	153627048	-		0.012157586	0.06132306	0.16665013	0.13114001	0.39148933	1.6356318	3.3742342	3.3513339	0.4014532	1.6913602	2.7002275	2.6765654	-0.28280422	0.063502	-0.3256351	0.04062156	0.47414386	1.3496321	-0.12327015	0.53312844	0.49202815	2.0109453	0.6070008	0.5658267	-0.5870915	0.25948492	-0.7895761	0.09692719
TRIM58	chr1	247857187	247880138	247857198	247857248	+		0.00396799	0.017613884	0.0077584577	0.026657565	-0.085428745	0.016982485	-0.09519393	0.00867674	-0.06410756	0.028478203	-0.07795639	0.013296949	-0.1799546	0.17762625	-0.22883815	0.08399203	-0.19709149	0.36105052	-0.37185067	0.2670264	-0.17563692	0.044081993	-0.17405705	0.07300974	1.0236413	1.6226933	-0.16639234	0.8559418
ADAMTSL4	chr1	150549369	150560937	150549407	150549457	+		0.07194672	0.105378196	0.3695681	0.18369442	0.09792627	0.5067015	-0.017668698	0.10541039	0.012346868	0.32819834	1.1867393	1.5435988	-0.16870748	0.42199162	0.09089925	0.5492199	-0.30630982	0.43905744	-0.3430772	0.18592992	0.8412196	1.7921021	1.4464883	1.7260568	-0.6773525	0.16201101	-0.4310794	0.1557786
PRKAB2	chr1	147155106	147172550	147172500	147172550	-		0.012428474	0.07703535	0.30290073	0.37820858	0.006875706	0.35191214	3.3363929	2.2977376	0.7388303	3.0204694	7.981771	6.723613	-0.2490764	0.10081247	-0.27105653	0.077511445	1.0991284	1.9307537	-0.41873124	0.16240779	0.08391725	0.8236789	0.19366528	0.70927733	-0.4120426	0.38676202	-0.5091004	0.36253667
TSTD1	chr1	161037631	161038977	161038679	161038729	-		0.036323182	0.04585809	0.05015548	0.056912135	0.007048015	0.13837917	-0.018519532	0.1314525	0.8912896	0.9881815	0.31610668	0.7197971	-0.2761683	0.06442427	-0.32570714	0.020115169	0.9436173	1.4344251	1.0754137	1.6784743	0.33011654	0.39031377	0.14229347	0.3680279	-0.52820116	0.20382285	-0.6973588	0.124449454
LAMTOR2	chr1	156054782	156058506	156054820	156054870	+		0.06172684	0.16564883	0.5284369	0.40960976	-0.049647223	0.11724946	7.008772	7.1387057	2.0011241	4.1745667	6.099833	5.8525963	-0.33152694	0.023313306	-0.2991563	0.05857328	-0.11921709	0.75086826	-0.5104825	0.10843383	0.20890772	0.8288937	1.6114473	2.7160702	-0.7392298	0.15722705	-0.67317057	0.18832846
OR14L1P	chr1	247617143	247622372	247619642	247619692	+		-0.0039183134	0.008841242	-0.0057166102	0.0056616687	-0.093444034	0.0068217837	-0.09198244	0.0036345911	-0.07669937	0.010796423	-0.07550613	0.0059577036	-0.25115278	0.05998521	-0.2520533	0.024404945	-0.21154618	0.30163074	-0.089032374	0.24103492	-0.19362159	0.045152795	-0.19487764	0.013786331	0.98740494	1.3627697	1.0381073	0.72129166
ZCCHC17	chr1	31296982	31364953	31296997	31297047	+		-0.0024365298	0.023724655	0.17977509	0.2226155	-0.0015418638	0.60908455	3.4211752	3.5297582	0.11604564	1.6110058	20.461292	15.711333	-0.24256727	0.07897277	-0.2278016	0.15305817	0.8940193	1.5924278	-0.34373388	0.31788656	-0.07609972	0.5840529	0.05830035	0.53501433	-0.3689109	0.39943492	-0.7166947	0.21223418
SMYD2	chr1	214281102	214337131	214330976	214331026	+		0.006193267	0.037044343	-0.0021460932	0.0076793847	-0.06086656	0.2304056	-0.09069438	0.015860902	0.01791374	0.78280735	-0.07810639	0.017208803	-0.25361308	0.12390719	-0.13834636	0.35189924	-0.05041584	0.74143904	-0.271308	0.27311242	0.1617139	1.3410041	0.14755246	0.39855027	-0.43681145	0.3894877	-0.4957635	0.30630088
CD1B	chr1	158327951	158331531	158331481	158331531	-		-0.0034147517	0.009792769	-0.0058612563	0.006541439	-0.09019884	0.010669146	-0.09308688	0.012213022	-0.063973084	0.03002157	-0.06270267	0.036798775	-0.19570208	0.12890655	-0.22871464	0.08047051	-0.17101379	0.34202203	-0.37192416	0.27488488	-0.1915343	0.038411148	-0.20405397	0.028870046	0.84121925	1.1427062	0.06666096	0.6527567
S100A11	chr1	152032506	152047907	152047857	152047907	-		0.021211503	0.062441528	0.10854742	0.11862742	0.5810641	1.5252844	0.89993376	0.5658061	2.7635958	7.945477	-0.034747027	0.08678199	2.1559772	3.6841133	-0.24748127	0.19970809	0.6118705	3.045586	-0.57165307	0.05237721	0.870028	2.3866622	2.419569	2.2343485	-0.42882195	0.48555434	-0.785922	0.20786312
RAD54L	chr1	46246461	46278480	46247731	46247781	+		0.017062835	0.11089631	0.46301046	0.38948995	-0.018013677	0.29897195	0.7882768	0.8402052	0.21956895	1.3849037	3.3231013	2.755555	-0.25312892	0.08293719	-0.2960226	0.1004282	1.5734257	2.0644088	-0.47275427	0.1545118	0.010262358	0.8076863	0.93449926	1.6823388	-0.35485867	0.4019498	-0.5258804	0.4983249
CR1	chr1	207496147	207641765	207496146	207496196	+		-0.0065839756	0.012909704	0.018279677	0.021283835	-0.082416885	0.012224872	-0.082213104	0.01446423	-0.060259312	0.027636759	0.03174436	0.13731192	0.3753797	1.3865011	5.431441	4.3027763	-0.2263493	0.29113457	-0.27623945	0.18882897	-0.13736257	0.21531339	0.8423628	1.4531962	-0.23474579	0.3186006	-0.17162749	0.3931068
ZNF496	chr1	247297412	247331867	247329195	247329245	-		0.020129874	0.09845023	0.018744098	0.017327987	0.010944206	0.6384378	-0.08365286	0.02323242	0.03364178	0.60207427	-0.07941183	0.0128533505	-0.26574734	0.073354855	-0.30459446	0.025841376	1.3667768	2.0570774	3.1312556	2.662646	0.0045088907	0.8121015	0.13876058	0.60796475	-0.41042745	0.44591603	-0.4762924	0.4558097
HORMAD1	chr1	150698060	150720895	150720838	150720888	-		-0.006112332	0.008969579	0.0072788396	0.0203707	-0.081355095	0.026796084	-0.08163074	0.006554592	-0.06145657	0.029118255	-0.062777475	0.00920028	-0.14222063	0.20545088	-0.007355422	0.26435524	-0.105801105	0.46484202	0.035233077	0.33147946	-0.16031116	0.071181774	-0.15852626	0.023703888	-0.32652378	0.27032483	-0.2911918	0.16705342
OR2G2	chr1	247588360	247589313	247588359	247588409	+		-0.0076554273	0.0043182694	-0.008936924	0.004063277	-0.08897223	0.008027682	-0.079861425	0.0040671416	-0.07115656	0.012721664	-0.050471224	0.025189245	-0.034411892	0.31812072	-0.17215261	0.027059248	0.30911365	0.7510191	-0.15492421	0.2516395	-0.18405735	0.03051638	-0.13189039	0.06364826	4.4617767	2.740878	0.74429244	1.5509515
IL10	chr1	206767602	206774541	206771149	206771199	-		-0.001607182	0.011128275	0.00054891576	0.010057861	-0.080209985	0.021070804	-0.0818842	0.006459478	-0.054689176	0.044418335	-0.03980871	0.056960877	1.8612525	2.3502436	4.4959493	2.8867893	-0.18772627	0.2974307	0.024867777	0.29170033	-0.15977989	0.06454209	-0.15846597	0.022290941	-0.16862388	0.5122347	-0.10459479	0.49540514
